ID_Produto;Descrição Produto;Categoria;Cor;Marca
123000;Bottom Azul Marca AlfaX;Bottom;Azul;AlfaX
123001;Top Cinza Marca GammaZ;Top;Cinza;GammaZ
123002;Bottom Preto Marca BetaY;Bottom;Preto;BetaY
123003;Top Marca BetaY;Top;Vermelho;BetaY
123004;Top Cinza Marca BetaY;Top;Cinza;BetaY
123005;Top Cinza Marca AlfaX;Top;Cinza;AlfaX
123006;Bottom Preto Marca AlfaX;Bottom;Preto;AlfaX
123007;Top Marca AlfaX;Top;Vermelho;AlfaX
123008;Top Marca GammaZ;Top;Vermelho;GammaZ
123009;Top Marca GammaZ;Top;Vermelho;GammaZ
123010;Bottom GammaZ;Bottom;Azul;GammaZ
123011;Bottom BetaY;Bottom;Azul;BetaY
