ID_Trans;Data;ID_Loja;ID_Produto;ID_Cliente;UnidadesVendidas;ValorTotal;Promo
1;01/01/2022;7;123005;90023;2;R$ 99,98;0
2;01/01/2022;9;123004;90092;1;R$ 35,99;0
3;01/01/2022;1;123001;90027;2;R$ 51,98;0
4;01/01/2022;3;123001;90097;2;R$ 51,98;0
5;01/01/2022;4;123004;90089;2;R$ 71,98;0
6;02/01/2022;4;123006;90021;3;R$ 151,17;1
7;02/01/2022;9;123005;90072;4;R$ 199,96;0
8;02/01/2022;1;123002;90006;3;R$ 83,97;0
9;03/01/2022;6;123002;90006;2;R$ 55,98;0
10;03/01/2022;3;123002;90069;1;R$ 25,19;
11;03/01/2022;2;123007;90042;2;R$ 119,98;0
12;03/01/2022;4;123003;90017;3;R$ 83,97;0
13;03/01/2022;7;123006;90067;2;R$ 111,98;0
14;03/01/2022;6;123003;90091;3;R$ 83,97;0
15;03/01/2022;2;123004;90093;2;R$ 71,98;0
16;03/01/2022;3;123001;90053;2;R$ 51,98;0
17;03/01/2022;1;123001;90007;1;R$ 25,99;0
18;04/01/2022;5;123005;90076;3;R$ 149,97;0
19;04/01/2022;7;123005;90029;2;R$ 99,98;0
20;04/01/2022;5;123006;90080;4;R$ 223,96;0
21;04/01/2022;5;123005;90095;2;R$ 99,98;0
22;04/01/2022;2;123008;90096;3;R$ 269,97;0
23;04/01/2022;9;123005;90039;2;R$ 99,98;0
24;04/01/2022;4;123002;90061;3;R$ 83,97;0
25;04/01/2022;5;123004;90095;2;R$ 71,98;0
26;04/01/2022;7;123008;90055;4;R$ 359,96;0
27;04/01/2022;4;123004;90066;1;R$ 35,99;0
28;04/01/2022;9;123007;90010;3;R$ 179,97;0
29;04/01/2022;3;123004;90018;3;R$ 107,97;0
30;04/01/2022;7;123002;90027;2;R$ 55,98;0
31;04/01/2022;3;123008;90075;3;R$ 269,97;0
32;04/01/2022;6;123006;90078;3;R$ 167,97;0
33;04/01/2022;9;123002;90057;2;R$ 55,98;0
34;04/01/2022;2;123008;90094;3;R$ 269,97;0
35;04/01/2022;5;123006;90088;3;R$ 167,97;0
36;04/01/2022;1;123004;90012;3;R$ 107,97;0
37;04/01/2022;5;123003;90022;3;R$ 83,97;0
